src,tgt,length_km
300493,307693,10.647782224575687
307693,309569,11.760583185328045
306489,307693,5.242457067691309
307693,310199,4.490628090849967
300648,305984,12.33486006876089
300105,305984,16.256469923221406
309042,310527,3.3845904441578427
304073,309042,13.077451018279897
308269,309042,3.9575988127372375
306450,309042,6.872776533812244
307557,307832,2.0377498198726918
300648,301194,30.662708653836624
300429,301636,14.256280460066543
301636,309569,9.34851402767476
301636,310199,19.30344923723744
300144,302171,4.001331218764707
302171,303099,8.952783745744982
301105,302171,2.381147173355732
302171,309663,10.479609579769221
301100,302171,16.00765599265942
301543,306444,12.874401469315854
301543,303099,17.08357917895834
301543,301637,8.18482315198206
301100,301543,3.985848456495827
301543,307832,3.3805842117715796
301543,309758,12.563407154834794
303099,306444,5.390817669100811
301637,306444,5.306314937443488
301745,306444,1.5586940852501834
300144,303099,11.793987997477313
300144,301105,2.8642036287216768
300429,310527,18.28025118459684
301194,310527,6.3224766922539555
306768,310527,17.809309121155266
307785,310527,18.768709595661623
304073,308471,20.777019285461222
304073,306450,9.107122188524091
300105,304073,34.35725439382627
304073,310179,18.03383627858184
303099,303899,7.19221544609699
301105,303099,8.996755714359546
301637,303099,9.515492647085972
303099,309663,12.913886800380833
301745,303099,5.569427655600317
300429,301194,12.82785376462796
300429,309569,10.150559591607669
300429,306768,7.75030083799086
306450,308269,7.364916606289873
301194,306768,12.356911701186386
301194,307785,15.559520013958558
300493,303620,5.858053704005098
301105,309663,8.72603144594208
301100,301105,14.254077858832279
301100,309553,1.4972049897866664
301100,301637,7.836856236517011
301637,309758,13.603908508905695
308471,308581,20.623242885881904
308581,310179,3.811039680969933
308581,309758,23.117498761153847
303620,308991,4.811090326998903
306489,310199,0.8929586450584633
301100,309663,6.423054660181422
300105,308471,53.28326684977264
308471,310179,17.40580793256477
309758,310179,19.900063807836695
