u,u_name,u_kv,u_lines,v,v_name,v_kv,v_lines,length_km
301614,PULPGEN,66,3,304073,STATION B (CENTURY),230,8,10.183886991971722
301105,STATION K (OLYMPIC),230,8,301156,BEVERLY,66,4,10.17836989259012
300429,STATION E (TOLUCA),500,15,309569,STATION M(VALLEY),230,7,10.150559591607667
303540,CARSON,66,1,304137,HALLDALE,138,3,10.00619358247925
306224,LAKEWOOD,66,2,307039,ALAMITOS,230,7,9.946294288937098
302187,DEL AMO,230,10,303169,LIGHTPIPE,230,9,9.932253471444184
300408,PUENTE,66,5,301517,NOGALES,66,0,9.92143805737456
302187,DEL AMO,230,10,307373,HAYNES,230,6,9.648898084743378
301156,BEVERLY,66,4,302171,SAWTELLE,66,2,9.60033160823411
301637,STATION N (AIRPORT),138,4,303099,STATION D (FAIRFAX),138,8,9.515492647085972
301636,SAN FERNANDO,66,1,309569,STATION M(VALLEY),230,7,9.34851402767476
301194,STATION G (ATWATER),230,8,301558,EAGLE ROCK,230,9,9.340133363022073
300232,CENTER,230,7,302187,DEL AMO,230,10,9.335392439572024
308907,NEWMARK,66,3,310504,BANDINI,66,2,9.193904128044853
309156,FELTON,66,2,309758,YUKON,66,5,9.16557454926911
304137,HALLDALE,138,3,308471,TORRANCE,66,2,9.150614240630803
304137,HALLDALE,138,3,310179,WILMINGTON (STATION C),138,8,9.122917825388422
304073,STATION B (CENTURY),230,8,306450,VERNON,66,3,9.107122188524093
305984,RIO HONDO,230,8,307564,JOSE,66,0,9.085979455269072
301541,MESA,230,9,307564,JOSE,66,0,9.06150072620111
301637,STATION N (AIRPORT),138,4,310204,EL NIDO,230,7,9.037071937620167
301105,STATION K (OLYMPIC),230,8,303099,STATION D (FAIRFAX),138,8,8.996755714359546
302171,SAWTELLE,66,2,303099,STATION D (FAIRFAX),138,8,8.952783745744982
301541,MESA,230,9,310504,BANDINI,66,2,8.946438720587391
302187,DEL AMO,230,10,307039,ALAMITOS,230,7,8.934375026390398
306844,LA FRESA,230,12,309156,FELTON,66,2,8.929132767345278
303169,LIGHTPIPE,230,9,307274,CAMERON,69,1,8.901593535209853
300232,CENTER,230,7,306060,LAGUNA BELL,230,12,8.752595037910261
300648,ROSEMEAD,66,4,308907,NEWMARK,66,3,8.747285551746725
301105,STATION K (OLYMPIC),230,8,309663,TAHITI,230,1,8.72603144594208
300429,STATION E (TOLUCA),500,15,308494,AIRWAY,230,6,8.603904388811104
300627,IMPERIAL TERMINAL TOWER,138,4,306844,LA FRESA,230,12,8.589923585612171
306060,LAGUNA BELL,230,12,308907,NEWMARK,66,3,8.57114989972729
306623,GRAMERCY,138,6,309156,FELTON,66,2,8.538315673038577
306768,UNKNOWN306768,230,0,308494,AIRWAY,230,6,8.463991451363242
301541,MESA,230,9,306060,LAGUNA BELL,230,12,8.272321871480873
301543,SEPLUVEDA,66,0,301637,STATION N (AIRPORT),138,4,8.237296611018087
301100,UNKNOWN301100,230,1,301637,STATION N (AIRPORT),138,4,7.836856236517011
300429,STATION E (TOLUCA),500,15,306768,UNKNOWN306768,230,0,7.75030083799086
302164,BRIGHTON,115,2,304137,HALLDALE,138,3,7.749828037759635
306060,LAGUNA BELL,230,12,308269,STATION F (VELASCO & KINETIC),230,7,7.610294323330248
304450,HARBORGEN,230,4,310179,WILMINGTON (STATION C),138,8,7.594193767904467
306450,VERNON,66,3,308269,STATION F (VELASCO & KINETIC),230,7,7.364916606289873
301558,EAGLE ROCK,230,9,304040,ARROYO,66,1,7.200990604184929
303099,STATION D (FAIRFAX),138,8,303899,STATION H (HOLLYWOOD),230,4,7.19221544609699
300648,ROSEMEAD,66,4,301541,MESA,230,9,7.155646812024085
301614,PULPGEN,66,3,306060,LAGUNA BELL,230,12,7.022388201312523
300627,IMPERIAL TERMINAL TOWER,138,4,309156,FELTON,66,2,7.0137642586166296
300648,ROSEMEAD,66,4,303371,GOODRICH,230,5,6.895055279778806
306450,VERNON,66,3,309042,RIVER,230,9,6.872776533812244
306844,LA FRESA,230,12,309758,YUKON,66,5,6.868222611780003
301194,STATION G (ATWATER),230,8,308494,AIRWAY,230,6,6.582811837689344
307274,CAMERON,69,1,310179,WILMINGTON (STATION C),138,8,6.567764647251225
309853,DOCK,66,2,310179,WILMINGTON (STATION C),138,8,6.461077909715863
301637,STATION N (AIRPORT),138,4,309156,FELTON,66,2,6.44999009736051
301100,UNKNOWN301100,230,1,309663,TAHITI,230,1,6.423054660181422
300390,HINSON,230,7,310179,WILMINGTON (STATION C),138,8,6.353637547727057
301194,STATION G (ATWATER),230,8,310527,STATION A (ST. JOHN),230,5,6.322476692253956
306844,LA FRESA,230,12,310204,EL NIDO,230,7,6.292780964195216
306623,GRAMERCY,138,6,309758,YUKON,66,5,6.283401000685973
302798,REPETTO,66,2,308907,NEWMARK,66,3,6.050981360531169
301614,PULPGEN,66,3,306450,VERNON,66,3,6.024247763139201
