src,src_name,tgt,tgt_name,length_km,near_substation_id,near_substation_name,distance_to_path_px
300105,WALNUT,304731,REDONDO,55.0,303169,LIGHTPIPE,10.884617540818823
300105,WALNUT,304731,REDONDO,55.0,304137,HALLDALE,13.243419938955736
300105,WALNUT,304731,REDONDO,55.0,306844,LA FRESA,13.780402520334079
300105,WALNUT,304731,REDONDO,55.0,306060,LAGUNA BELL,19.170964723997454
300105,WALNUT,304731,REDONDO,55.0,301489,BULLIS,20.803485284922797
300390,HINSON,304731,REDONDO,23.27,308806,MOBILOIL,1.669999999999959
300390,HINSON,304731,REDONDO,23.27,305084,VICTORIA,2.379436433422306
300390,HINSON,304731,REDONDO,23.27,307274,CAMERON,6.180291255272747
300390,HINSON,304731,REDONDO,23.27,304137,HALLDALE,7.0001785691509335
300390,HINSON,304731,REDONDO,23.27,306365,ARCOGEN,11.54000397024326
300390,HINSON,304731,REDONDO,23.27,310179,WILMINGTON (STATION C),12.683782215782106
300390,HINSON,304731,REDONDO,23.27,306844,LA FRESA,13.780402520334079
300390,HINSON,304731,REDONDO,23.27,304450,HARBORGEN,31.961478376320507
303169,LIGHTPIPE,304731,REDONDO,22.26,308806,MOBILOIL,1.669999999999959
303169,LIGHTPIPE,304731,REDONDO,22.26,305084,VICTORIA,2.379436433422306
303169,LIGHTPIPE,304731,REDONDO,22.26,304137,HALLDALE,13.243419938955736
303169,LIGHTPIPE,304731,REDONDO,22.26,306844,LA FRESA,13.780402520334079
303169,LIGHTPIPE,304731,REDONDO,22.26,303540,CARSON,20.739502224950126
303169,LIGHTPIPE,304731,REDONDO,22.26,301489,BULLIS,23.74893695478865
303169,LIGHTPIPE,304731,REDONDO,22.26,308471,TORRANCE,33.422066064203804
303169,LIGHTPIPE,304731,REDONDO,22.26,310204,EL NIDO,48.06928749211912
304073,STATION B (CENTURY),304731,REDONDO,22.49,308806,MOBILOIL,1.669999999999959
304073,STATION B (CENTURY),304731,REDONDO,22.49,305084,VICTORIA,2.379436433422306
304073,STATION B (CENTURY),304731,REDONDO,22.49,304137,HALLDALE,13.243419938955736
304073,STATION B (CENTURY),304731,REDONDO,22.49,306844,LA FRESA,13.780402520334079
304073,STATION B (CENTURY),304731,REDONDO,22.49,308471,TORRANCE,33.422066064203804
304073,STATION B (CENTURY),304731,REDONDO,22.49,310204,EL NIDO,48.06928749211912
304073,STATION B (CENTURY),304731,REDONDO,22.49,307832,UNKNOWN307832,53.12238887700742
304073,STATION B (CENTURY),304731,REDONDO,22.49,303540,CARSON,53.696897489519856
304450,HARBORGEN,304731,REDONDO,24.51,308806,MOBILOIL,1.669999999999959
304450,HARBORGEN,304731,REDONDO,24.51,305084,VICTORIA,2.379436433422306
304450,HARBORGEN,304731,REDONDO,24.51,304137,HALLDALE,7.0001785691509335
304450,HARBORGEN,304731,REDONDO,24.51,306365,ARCOGEN,11.54000397024326
304450,HARBORGEN,304731,REDONDO,24.51,310179,WILMINGTON (STATION C),12.683782215782106
304450,HARBORGEN,304731,REDONDO,24.51,306844,LA FRESA,13.780402520334079
304450,HARBORGEN,304731,REDONDO,24.51,308540,LONG BEACH,16.810716819933663
304450,HARBORGEN,304731,REDONDO,24.51,300390,HINSON,17.499013837061803
304731,REDONDO,305984,RIO HONDO,56.58,307564,JOSE,0.4945647009172698
304731,REDONDO,305984,RIO HONDO,56.58,308806,MOBILOIL,1.669999999999959
304731,REDONDO,305984,RIO HONDO,56.58,305084,VICTORIA,2.379436433422306
304731,REDONDO,305984,RIO HONDO,56.58,303169,LIGHTPIPE,10.884617540818823
304731,REDONDO,305984,RIO HONDO,56.58,304137,HALLDALE,13.243419938955736
