src,tgt,length_km,nearest_internal_substation_id,nearest_internal_substation_name,nearest_internal_distance_to_path_m,nearest_internal_distance_along_path_m
302171,309843,6.521451875498695,300144,STATION 11,17.930268039182533,3986.98737019705
302171,310527,36.968726469765464,301156,BEVERLY,245.9532031166341,7482.23624068844
302297,303099,16.453246735611838,306091,DOUGLAS,255.89397057221652,32.70290506973078
302297,305885,13.278635893135776,301745,WINDSOR HILLS,70.63012387876863,12565.762037721102
302297,306444,12.24406902596935,306091,DOUGLAS,255.89397057221652,32.70290506973078
302297,306623,11.305815835257748,306091,DOUGLAS,255.89397057221652,32.70290506973078
302297,306844,10.973089979498416,310204,EL NIDO,179.03570298322637,4701.339916562894
302297,307557,6.120976471342094,306091,DOUGLAS,255.89397057221652,32.70290506973078
302297,307832,4.628491278429972,306091,DOUGLAS,255.89397057221652,32.70290506973078
302297,308471,16.268972981027108,310204,EL NIDO,179.03570298322637,4701.339916562894
302297,308786,12.66819346955648,306444,STANHILL,78.08408650632371,12165.944955299898
302297,309156,4.518074425990389,306091,DOUGLAS,255.89397057221652,32.70290506973078
302297,309758,11.933074711488286,306091,DOUGLAS,255.89397057221652,32.70290506973078
302297,310204,4.825575903749629,306091,DOUGLAS,255.89397057221652,32.70290506973078
302798,306450,22.236034106815083,306060,LAGUNA BELL,120.84072938109479,11924.237551264732
302923,307557,2.158328438407228,301108,CHEVMAIN,58.492870691279315,1730.278084136999
303099,305885,6.251641361333831,301745,WINDSOR HILLS,70.63012387876863,5538.767505919155
303099,306091,16.27853705638445,302297,TRISONIC,212.75626097453238,16107.091875641434
303099,307557,20.88606430995584,310204,EL NIDO,191.06278975995133,17744.827310147306
303099,308471,29.379225041873923,310204,EL NIDO,179.03570298322637,17811.591977409713
303099,308786,5.814942112687938,306444,STANHILL,78.08408650632371,5312.693598431356
303099,309843,14.314108654211303,300144,STATION 11,17.930268039182533,11779.64414890966
303169,304450,13.583568853055336,307274,CAMERON,35.902555367165796,8822.208801941342
303169,305984,34.39519481502211,307564,JOSE,43.330792141920675,25320.52778729854
303169,306365,12.301876838629092,307274,CAMERON,35.902555367165796,8822.208801941342
303169,308540,15.10959734369375,307274,CAMERON,35.902555367165796,8822.208801941342
303169,310179,15.349934288730113,307274,CAMERON,35.902555367165796,8822.208801941342
303344,309553,3.258742776924915,302923,UNKNOWN302923,269.9098187584613,264.53834439569266
303344,309703,2.6949661208779827,302923,UNKNOWN302923,269.9098187584613,264.53834439569266
303371,308907,15.562639591461867,300648,ROSEMEAD,57.16190098559964,6853.214575746764
303540,304450,16.53270020073593,307274,CAMERON,5.407243247752024,11760.71347548513
303540,308540,18.05872869137434,307274,CAMERON,5.407243247752024,11760.71347548513
304073,305984,35.94070691097577,307564,JOSE,43.330792141920675,26866.039883252204
304073,306365,23.95431898695257,300390,HINSON,127.45723735120436,21798.62394801429
304073,308269,12.278791155387497,301614,PULPGEN,109.54598690993247,10146.247290028723
304073,308540,24.597087464331548,304450,HARBORGEN,92.64880905457912,23048.052760572507
304137,305984,49.05247296133096,307564,JOSE,43.330792141920675,39977.805933607415
304137,306365,15.109047887054707,300390,HINSON,127.45723735120436,12953.352848116425
304137,306844,6.0432546766272015,308806,MOBILOIL,151.66741502069428,4799.063536016425
304137,308540,15.751816364433685,304450,HARBORGEN,92.64880905457912,14202.781660674646
304450,306365,6.73474084901271,300390,HINSON,127.45723735120436,4579.045810074428
304450,306450,30.797599970473456,307274,CAMERON,5.407243247752024,4771.9867252508
304450,308367,1.6544978018889744,308540,LONG BEACH,150.81823570324855,1586.1769849804484
305885,306091,13.103926213908391,301745,WINDSOR HILLS,70.63012387876863,712.8738554146757
305885,306444,2.216206826624751,301745,WINDSOR HILLS,70.63012387876863,712.8738554146757
305885,308786,2.6403312702118797,301745,WINDSOR HILLS,70.63012387876863,712.8738554146757
305984,306060,24.88371400896049,307564,JOSE,43.330792141920675,9074.667027723555
305984,306369,42.851830379427895,307564,JOSE,43.330792141920675,9074.667027723555
305984,306844,49.95294638796887,307564,JOSE,43.330792141920675,9074.667027723555
305984,308471,54.86671936692222,307564,JOSE,43.330792141920675,9074.667027723555
305984,308806,50.666217626541055,307564,JOSE,43.330792141920675,9074.667027723555
305984,310504,26.374627602875567,307564,JOSE,192.5283675377389,8980.202396741459
306091,306444,12.069359346741972,302297,TRISONIC,212.75626097453238,171.445180743016
