substation_id,degree,NAME,CITY,Owner,MAX_VOLT,LINES,role_key,role_text,is_source,source_role_score,MAX_VOLT_N,LINES_N,is_role_hub,is_voltage_hub,is_line_hub,hub_evidence_count,sanity_flag,threshold
306060,14,LAGUNA BELL,COMMERCE,SCE,230,12,transit,transit transit_hub_not_source,False,0.6,230,12,True,True,True,3,ok,le_40km
303540,14,CARSON,COMPTON,SCE,66,1,,,,,66,1,False,False,False,0,ok,le_40km
309758,13,YUKON,HAWTHORNE,SCE,66,5,,,,,66,5,False,False,False,0,ok,le_40km
308806,13,MOBILOIL,TORRANCE,SCE,66,3,,,,,66,3,False,False,False,0,ok,le_40km
304450,13,HARBORGEN,LOS ANGELES,SCE,230,4,core,core in_basin_generation_proxy,True,1.0,230,4,True,True,False,2,ok,le_40km
300390,12,HINSON,LONG BEACH,SCE,230,7,transit,transit transit_hub_not_source,False,0.6,230,7,True,True,True,3,ok,le_40km
309042,11,RIVER,LOS ANGELES,LADWP,230,9,,,,,230,9,False,True,True,2,ok,le_40km
306279,10,OLINDA,ROWLAND HEIGHTS,SCE,230,10,transit,transit transit_hub_not_source,False,0.6,230,10,True,True,True,3,ok,le_40km
301105,10,STATION K (OLYMPIC),LOS ANGELES,LADWP,230,8,transit,transit transit_hub_not_source,False,0.6,230,8,True,True,True,3,ok,le_40km
300429,10,STATION E (TOLUCA),LOS ANGELES,LADWP,500,15,transit,transit transit_hub_not_source,False,0.6,500,15,True,True,True,3,ok,le_40km
309156,10,FELTON,DEL AIRE,SCE,66,2,,,,,66,2,False,False,False,0,ok,le_40km
301543,9,SEPLUVEDA,EL SEGUNDO,SCE,66,0,,,,,66,0,False,False,False,0,ok,le_40km
302187,9,DEL AMO,CERRITOS,SCE,230,10,transit,transit transit_hub_not_source,False,0.6,230,10,True,True,True,3,ok,le_40km
310204,8,EL NIDO,HAWTHORNE,SCE,230,7,transit,transit transit_hub_not_source,False,0.6,230,7,True,True,True,3,ok,le_40km
306369,8,LA MIRADA,LA MIRADA,SCE,66,1,,,,,66,1,False,False,False,0,ok,le_40km
308494,8,AIRWAY,GLENDALE,LADWP,230,6,,,,,230,6,False,True,True,2,ok,le_40km
