src,tgt,length_km,path_nodes_count,decision,blocker_tolerance_m,debug_search_radius_m,nearest_internal_substation_id,nearest_internal_substation_name,nearest_internal_distance_to_path_m,nearest_internal_distance_along_path_m,path_length_km,within_blocker_tolerance
304137,306060,25.9771530874901,168,accepted,300.0,1000.0,303169,LIGHTPIPE,980.2882903987322,15581.79220891983,25.9771530874901,False
303169,304137,14.732140946297486,77,accepted,300.0,1000.0,,,,,14.732140946297486,False
304137,308540,15.751816364433685,83,blocked_by_near_substation,300.0,1000.0,304450,HARBORGEN,92.64880905457912,14202.781660674646,15.751816364433685,True
304137,308806,4.9501125002496495,28,accepted,300.0,1000.0,,,,,4.9501125002496495,False
300408,304137,49.210713065612985,295,blocked_by_near_substation,300.0,1000.0,300105,WALNUT,193.8184176191819,47352.13740390307,49.210713065612985,True
304137,305984,49.05247296133096,262,blocked_by_near_substation,300.0,1000.0,307564,JOSE,43.330792141920675,39977.805933607415,49.05247296133096,True
304073,304137,14.962772879870043,76,accepted,300.0,1000.0,,,,,14.962772879870043,False
304137,308581,12.340352778705567,74,accepted,300.0,1000.0,310179,WILMINGTON (STATION C),392.2592148182917,8853.565393425539,12.340352778705567,False
304137,308471,9.150614240630805,53,accepted,300.0,1000.0,308806,MOBILOIL,365.2299319355559,4607.24151055679,9.150614240630805,False
300105,304137,47.469020444181496,274,accepted,300.0,1000.0,307564,JOSE,763.7472531073961,39761.909482857795,47.469020444181496,False
304137,310179,9.122917825388422,64,accepted,300.0,1000.0,,,,,9.122917825388422,False
304137,309758,11.63708942454882,68,accepted,300.0,1000.0,,,,,11.63708942454882,False
300390,304450,4.587272112052284,24,accepted,300.0,1000.0,,,,,4.587272112052284,False
300627,304450,23.279650047652158,125,accepted,300.0,1000.0,,,,,23.279650047652158,False
304450,306844,19.632764318239502,105,accepted,300.0,1000.0,,,,,19.632764318239502,False
303169,304450,13.583568853055342,68,blocked_by_near_substation,300.0,1000.0,307274,CAMERON,35.902555367165796,4761.360051113997,13.583568853055342,True
304450,308540,1.5617901156369678,5,accepted,300.0,1000.0,,,,,1.5617901156369678,False
304450,308806,18.599145271889867,110,accepted,300.0,1000.0,304137,HALLDALE,556.3328609488469,15064.584644003233,18.599145271889867,False
304073,304450,23.04740647016956,117,accepted,300.0,1000.0,,,,,23.04740647016956,False
304450,308471,22.799647012271013,135,accepted,300.0,1000.0,308806,MOBILOIL,365.2299319355559,18256.274282197006,22.799647012271013,False
304450,306450,30.797599970473456,185,blocked_by_near_substation,300.0,1000.0,307274,CAMERON,5.407243247752024,4771.9867252508,30.797599970473456,True
304450,310179,7.594193767904467,42,accepted,300.0,1000.0,,,,,7.594193767904467,False
304450,309758,25.06692639452648,136,accepted,300.0,1000.0,,,,,25.06692639452648,False
306369,307373,20.19833016732273,130,accepted,300.0,1000.0,307039,ALAMITOS,330.1018026468176,892.8105072136153,20.19833016732273,False
306224,307373,10.660817347290083,52,accepted,300.0,1000.0,307039,ALAMITOS,330.1018026468176,892.8105072136153,10.660817347290083,False
303169,307373,19.17741751163226,95,accepted,300.0,1000.0,307039,ALAMITOS,330.1018026468176,892.8105072136153,19.17741751163226,False
306279,307373,34.59815338154187,259,accepted,300.0,1000.0,307039,ALAMITOS,330.1018026468176,892.8105072136153,34.59815338154187,False
304073,307373,33.33198339671489,170,accepted,300.0,1000.0,307039,ALAMITOS,330.1018026468176,892.8105072136153,33.33198339671489,False
300390,300627,22.03909382747475,122,accepted,300.0,1000.0,,,,,22.03909382747475,False
300390,306844,18.3922080980621,102,accepted,300.0,1000.0,,,,,18.3922080980621,False
300390,303169,10.005077258339742,48,blocked_by_near_substation,300.0,1000.0,307274,CAMERON,5.407243247752024,1104.4356897056148,10.005077258339742,True
300390,308540,6.114239116206833,34,blocked_by_near_substation,300.0,1000.0,304450,HARBORGEN,92.64880905457912,4565.204412447797,6.114239116206833,True
300390,308806,17.358589051712453,107,accepted,300.0,1000.0,304137,HALLDALE,556.3328609488469,13824.028423825821,17.358589051712453,False
300390,304073,21.806850249992152,114,accepted,300.0,1000.0,,,,,21.806850249992152,False
300390,308471,21.5590907920936,132,accepted,300.0,1000.0,308806,MOBILOIL,365.2299319355559,17015.718062019594,21.5590907920936,False
