line_row_index,line_part_index,endpoint_type,original_x,original_y,repaired_x,repaired_y,repair_type,cluster_id,nearest_substation_id,nearest_substation_name,nearest_distance_m,second_nearest_substation_id,second_nearest_distance_m,snap_decision_reason,endpoint_key
469,0,start,235700.81462456856,-423238.9461333407,235700.81462456856,-423238.9461333407,none,,300558,GANESHA,33484.110133088885,301517,42556.88138986758,outside_secondary_tolerance,469:0:start
469,0,end,234669.9253641843,-424932.4745280482,234669.9253641843,-424932.4745280482,none,,300558,GANESHA,31853.460439565344,301517,40865.250438241696,outside_secondary_tolerance,469:0:end
470,0,start,234669.9253641843,-424932.4745280482,234669.9253641843,-424932.4745280482,none,,300558,GANESHA,31853.460439565344,301517,40865.250438241696,outside_secondary_tolerance,470:0:start
470,0,end,233865.51193019736,-425902.29433464585,233865.51193019736,-425902.29433464585,none,,300558,GANESHA,30739.479786193508,301517,39715.72349174959,outside_secondary_tolerance,470:0:end
471,0,start,224830.68655917706,-442180.2663163147,224830.68655917706,-442180.2663163147,none,,300558,GANESHA,20064.457745292697,301517,26745.50588756243,outside_secondary_tolerance,471:0:start
471,0,end,227386.3312612334,-433457.7194740316,227386.3312612334,-433457.7194740316,none,,300558,GANESHA,22383.540491792664,301517,30853.596234522247,outside_secondary_tolerance,471:0:end
472,0,start,226417.59006771602,-439678.8999975235,226417.59006771602,-439678.8999975235,none,,300558,GANESHA,21193.66759159326,301517,28529.15693534173,outside_secondary_tolerance,472:0:start
472,0,end,227493.12531754546,-433483.0818777671,227493.12531754546,-433483.0818777671,none,,300558,GANESHA,22484.28135530648,301517,30947.016203637133,outside_secondary_tolerance,472:0:end
473,0,start,222779.06234002335,-442142.8258596016,222779.06234002335,-442142.8258596016,none,,300558,GANESHA,18069.185479916396,301517,24696.967640499362,outside_secondary_tolerance,473:0:start
473,0,end,224808.81609070196,-442718.0600860873,224808.81609070196,-442718.0600860873,none,,300558,GANESHA,20178.79286468306,301517,26708.98660855172,outside_secondary_tolerance,473:0:end
474,0,start,224808.81609070196,-442718.0600860873,224808.81609070196,-442718.0600860873,none,,300558,GANESHA,20178.79286468306,301517,26708.98660855172,outside_secondary_tolerance,474:0:start
474,0,end,224857.67987733879,-442544.5183194224,224857.67987733879,-442544.5183194224,none,,300558,GANESHA,20180.80799925667,301517,26761.38635969892,outside_secondary_tolerance,474:0:end
475,0,start,224808.81609070196,-442718.0600860873,224808.81609070196,-442718.0600860873,none,,300558,GANESHA,20178.79286468306,301517,26708.98660855172,outside_secondary_tolerance,475:0:start
475,0,end,224840.76830922323,-442544.87810491165,224840.76830922323,-442544.87810491165,none,,300558,GANESHA,20164.55232618767,301517,26744.471013179395,outside_secondary_tolerance,475:0:end
476,0,start,213654.5185723948,-450239.36538681434,213654.5185723948,-450239.36538681434,none,,300558,GANESHA,15308.746139645149,301517,17079.03254782527,outside_secondary_tolerance,476:0:start
476,0,end,204626.66248157513,-462666.4108856814,204626.66248157513,-462666.4108856814,none,,306279,OLINDA,17806.034703085872,301517,20551.404537988743,outside_secondary_tolerance,476:0:end
477,0,start,213654.5185723948,-450239.36538681434,213654.5185723948,-450239.36538681434,none,,300558,GANESHA,15308.746139645149,301517,17079.03254782527,outside_secondary_tolerance,477:0:start
477,0,end,204648.0130582369,-462642.07666738797,204648.0130582369,-462642.07666738797,none,,306279,OLINDA,17803.87612568129,301517,20535.124124500588,outside_secondary_tolerance,477:0:end
478,0,start,213654.5185723948,-450239.36538681434,213654.5185723948,-450239.36538681434,none,,300558,GANESHA,15308.746139645149,301517,17079.03254782527,outside_secondary_tolerance,478:0:start
478,0,end,224830.5733357863,-442229.73378463415,224830.5733357863,-442229.73378463415,none,,300558,GANESHA,20076.241312922164,301517,26743.593721322915,outside_secondary_tolerance,478:0:end
479,0,start,200442.95128535887,-464259.96239720983,200442.95128535887,-464259.96239720983,none,,306279,OLINDA,16499.259256277535,306369,18430.55885451881,outside_secondary_tolerance,479:0:start
479,0,end,194594.00227674033,-465296.8962804391,194594.00227674033,-465296.8962804391,none,,306369,LA MIRADA,13955.940395992366,306279,15459.696673737251,outside_secondary_tolerance,479:0:end
480,0,start,194594.00227674033,-465296.8962804391,194594.00227674033,-465296.8962804391,none,,306369,LA MIRADA,13955.940395992366,306279,15459.696673737251,outside_secondary_tolerance,480:0:start
480,0,end,194512.08427565382,-465264.593160992,194512.08427565382,-465264.593160992,none,,306369,LA MIRADA,13871.769487741554,306279,15414.619920276677,outside_secondary_tolerance,480:0:end
481,0,start,194489.80361819905,-465324.1871319623,194489.80361819905,-465324.1871319623,none,,306369,LA MIRADA,13891.73088041184,306279,15469.955920138298,outside_secondary_tolerance,481:0:start
481,0,end,194594.00227674033,-465296.8962804391,194594.00227674033,-465296.8962804391,none,,306369,LA MIRADA,13955.940395992366,306279,15459.696673737251,outside_secondary_tolerance,481:0:end
482,0,start,200460.97813627028,-464632.7382341833,200460.97813627028,-464632.7382341833,none,,306279,OLINDA,16830.468427635784,306369,18604.860301001827,outside_secondary_tolerance,482:0:start
482,0,end,200532.83788617,-464423.4274668549,200532.83788617,-464423.4274668549,none,,306279,OLINDA,16685.726350988367,306369,18580.592896761922,outside_secondary_tolerance,482:0:end
483,0,start,200428.9305247961,-464260.8525973866,200428.9305247961,-464260.8525973866,none,,306279,OLINDA,16492.91270705833,306369,18418.177971451092,outside_secondary_tolerance,483:0:start
483,0,end,200451.66738491584,-464224.2477009776,200451.66738491584,-464224.2477009776,none,,306279,OLINDA,16472.934764418194,306369,18423.67618603313,outside_secondary_tolerance,483:0:end
484,0,start,214598.95517519524,-443771.7246407373,214598.95517519524,-443771.7246407373,none,,300558,GANESHA,11243.74790006444,301517,16505.86625295771,outside_secondary_tolerance,484:0:start
484,0,end,214940.21187306766,-449630.8874264695,214940.21187306766,-449630.8874264695,none,,300558,GANESHA,15559.166876105923,301517,18030.79990920231,outside_secondary_tolerance,484:0:end
485,0,start,214940.21187306766,-449630.8874264695,214940.21187306766,-449630.8874264695,none,,300558,GANESHA,15559.166876105923,301517,18030.79990920231,outside_secondary_tolerance,485:0:start
485,0,end,214762.86388614876,-449900.099172418,214762.86388614876,-449900.099172418,none,,300558,GANESHA,15664.804220413167,301517,17964.31019050323,outside_secondary_tolerance,485:0:end
486,0,start,214762.86388614876,-449900.099172418,214762.86388614876,-449900.099172418,none,,300558,GANESHA,15664.804220413167,301517,17964.31019050323,outside_secondary_tolerance,486:0:start
486,0,end,214940.21187306766,-449630.8874264695,214940.21187306766,-449630.8874264695,none,,300558,GANESHA,15559.166876105923,301517,18030.79990920231,outside_secondary_tolerance,486:0:end
487,0,start,216093.66313330052,-468682.22839066293,216093.66313330052,-468682.22839066293,none,,306279,OLINDA,30408.024792406064,301517,31210.894072317406,outside_secondary_tolerance,487:0:start
487,0,end,214762.86388614876,-449900.099172418,214762.86388614876,-449900.099172418,none,,300558,GANESHA,15664.804220413167,301517,17964.31019050323,outside_secondary_tolerance,487:0:end
488,0,start,216093.66313330052,-468682.22839066293,216093.66313330052,-468682.22839066293,none,,306279,OLINDA,30408.024792406064,301517,31210.894072317406,outside_secondary_tolerance,488:0:start
488,0,end,204684.61832093206,-462655.4602857684,204684.61832093206,-462655.4602857684,none,,306279,OLINDA,17839.221248839338,301517,20559.497989744956,outside_secondary_tolerance,488:0:end
489,0,start,218887.7144998883,-480405.5896360306,218887.7144998883,-480405.5896360306,none,,306279,OLINDA,40510.928931058595,306369,42500.995847611426,outside_secondary_tolerance,489:0:start
489,0,end,216093.66313330052,-468682.22839066293,216093.66313330052,-468682.22839066293,none,,306279,OLINDA,30408.024792406064,301517,31210.894072317406,outside_secondary_tolerance,489:0:end
490,0,start,228162.25482169405,-433334.0206219768,228162.25482169405,-433334.0206219768,none,,300558,GANESHA,23169.138996440277,301517,31629.23460864525,outside_secondary_tolerance,490:0:start
490,0,end,228215.6884359586,-433334.02057679184,228215.6884359586,-433334.02057679184,none,,300558,GANESHA,23221.753669314126,301517,31680.01899415825,outside_secondary_tolerance,490:0:end
491,0,start,228189.51140492008,-433520.7683078912,228189.51140492008,-433520.7683078912,none,,300558,GANESHA,23164.13777749085,301517,31597.565358331845,outside_secondary_tolerance,491:0:start
491,0,end,227539.66227126404,-433435.10563829215,227539.66227126404,-433435.10563829215,none,,300558,GANESHA,22538.462288816478,301517,31006.255446877545,outside_secondary_tolerance,491:0:end
492,0,start,192752.4267624104,-447562.0677983402,192752.4267624104,-447562.0677983402,none,,306279,OLINDA,2576.1882291304096,300408,4760.79581214376,outside_secondary_tolerance,492:0:start
