node,node_name,neighbor,neighbor_name,neighbor_city,neighbor_voltage,neighbor_lines,length_km,path_nodes_count,path_segments_count,bbox
308216,ROLLING HILLS,310504,BANDINI,VERNON,66,2,42.64,290,289,"[356.5, 430.94, 605.82, 669.31]"
308216,ROLLING HILLS,307039,ALAMITOS,LONG BEACH,230,7,41.25,268,267,"[387.86, 652.69, 684.42, 712.4]"
308216,ROLLING HILLS,306060,LAGUNA BELL,COMMERCE,230,12,39.36,271,270,"[356.5, 460.53, 629.4, 669.31]"
308216,ROLLING HILLS,306268,WESTEX,SIGNAL HILL,66,2,29.94,202,201,"[387.86, 652.69, 601.32, 703.82]"
308216,ROLLING HILLS,301489,BULLIS,COMPTON,66,2,29.76,208,207,"[356.5, 554.07, 577.27, 669.31]"
308216,ROLLING HILLS,304073,STATION B (CENTURY),LOS ANGELES,230,8,28.34,179,178,"[356.5, 495.12, 504.51, 669.31]"
308216,ROLLING HILLS,303169,LIGHTPIPE,LONG BEACH,230,9,28.11,180,179,"[356.5, 577.69, 598.16, 669.31]"
308216,ROLLING HILLS,303540,CARSON,COMPTON,66,1,23.38,151,150,"[356.5, 593.52, 548.73, 669.31]"
308216,ROLLING HILLS,308540,LONG BEACH,LONG BEACH,230,4,22.83,152,151,"[387.86, 652.69, 543.16, 719.95]"
308216,ROLLING HILLS,306365,ARCOGEN,CARSON,230,2,22.18,153,152,"[387.86, 651.52, 542.7, 692.75]"
308216,ROLLING HILLS,304450,HARBORGEN,LOS ANGELES,230,4,21.28,148,147,"[387.86, 652.69, 542.68, 703.34]"
308216,ROLLING HILLS,307274,CAMERON,LONG BEACH,69,1,20.25,158,157,"[387.86, 652.69, 548.52, 692.75]"
308216,ROLLING HILLS,300390,HINSON,LONG BEACH,230,7,20.04,145,144,"[387.86, 652.69, 542.7, 692.75]"
308216,ROLLING HILLS,308581,STATION Q (HARBOR),LOS ANGELES,138,3,19.1,126,125,"[387.86, 652.69, 496.4, 713.7]"
308216,ROLLING HILLS,310179,WILMINGTON (STATION C),LOS ANGELES,138,8,15.88,116,115,"[387.86, 652.69, 501.12, 692.75]"
308216,ROLLING HILLS,304137,HALLDALE,LOS ANGELES,138,3,15.3,116,115,"[387.86, 618.55, 454.0, 692.75]"
308216,ROLLING HILLS,308471,TORRANCE,TORRANCE,66,2,14.2,108,107,"[356.5, 607.16, 405.5, 669.31]"
308216,ROLLING HILLS,306844,LA FRESA,TORRANCE,230,12,12.97,108,107,"[356.5, 591.54, 413.41, 669.31]"
