Stage,Crew_ID,Crew_Origin_ID,Substation_ID,Start_Time,End_Time,Duration,Travel_Time
Stage4_SanFernando_centrality-first,7,D02,300105,0.3240646639605162,1.6242347779665087,1.3001701140059925,0.3240646639605162
Stage4_SanFernando_centrality-first,8,D02,301156,0.2688419393401867,1.3750028595208386,1.106160920180652,0.2688419393401867
Stage4_SanFernando_centrality-first,9,D02,307693,0.4134109793579708,32.00641467673552,31.593003697377544,0.4134109793579708
Stage4_SanFernando_centrality-first,10,D02,309569,0.3226055858593969,19.39975394865666,19.077148362797264,0.3226055858593969
Stage4_SanFernando_centrality-first,11,D02,301194,0.1233462462209327,5.157661736424822,5.034315490203889,0.1233462462209327
Stage4_SanFernando_centrality-first,12,D03,309042,0.0858021670511716,2.0106916318259893,1.9248894647748178,0.0858021670511716
Stage4_SanFernando_centrality-first,13,D04,306060,0.5053613787369885,1.6421939166940538,1.1368325379570652,0.5053613787369885
Stage4_SanFernando_centrality-first,14,D04,305984,0.6052119620445481,2.6558325006437657,2.0506205385992176,0.6052119620445481
Stage4_SanFernando_centrality-first,15,D04,303371,0.4215833118166912,4.045423284180602,3.6238399723639114,0.4215833118166912
Stage4_SanFernando_centrality-first,16,D04,310527,0.3567726177126968,2.866490163364819,2.5097175456521224,0.3567726177126968
Stage4_SanFernando_centrality-first,17,D04,306768,0.2252064427569911,3.9716938712133296,3.7464874284563385,0.2252064427569911
Stage4_SanFernando_centrality-first,18,D04,300648,0.5267080897862638,1.873021880530998,1.346313790744734,0.5267080897862638
Stage4_SanFernando_centrality-first,19,D04,300232,0.5742725052316217,1.6103764798508364,1.0361039746192147,0.5742725052316217
Stage4_SanFernando_centrality-first,20,D04,300493,0.1810631386104234,11.379938006368368,11.198874867757945,0.1810631386104234
Stage4_SanFernando_centrality-first,21,D04,307512,0.2433781497916179,8.679732547499018,8.436354397707401,0.2433781497916179
Stage4_SanFernando_centrality-first,22,D04,301636,0.1521644251288435,14.729624303803945,14.577459878675102,0.1521644251288435
Stage4_SanFernando_centrality-first,23,D04,306489,0.220143657568028,29.793092496657128,29.5729488390891,0.220143657568028
Stage4_SanFernando_centrality-first,24,D04,308269,0.428341388493546,1.8701798819237965,1.4418384934302504,0.428341388493546
Stage4_SanFernando_centrality-first,25,D04,304073,0.5110016898071095,1.728844064306327,1.2178423744992175,0.5110016898071095
Stage4_SanFernando_centrality-first,26,D04,308206,0.2798600662196588,2.2504874010205924,1.9706273348009338,0.2798600662196588
Stage4_SanFernando_centrality-first,27,D04,301541,0.5105949944473888,1.8566094320311137,1.346014437583725,0.5105949944473888
Stage4_SanFernando_centrality-first,28,D04,303899,0.2728454375148147,2.556642613516314,2.283797176001499,0.2728454375148147
Stage4_SanFernando_centrality-first,29,D04,300829,0.4208140167635789,7.8381159677243835,7.4173019509608045,0.4208140167635789
Stage4_SanFernando_centrality-first,30,D04,301214,0.220143657568028,30.78737025627365,30.567226598705624,0.220143657568028
Stage4_SanFernando_centrality-first,31,D04,304040,0.4111930315978428,4.681605811464348,4.270412779866506,0.4111930315978428
Stage4_SanFernando_centrality-first,32,D04,308991,0.2535104899807856,6.945434763363181,6.691924273382395,0.2535104899807856
Stage4_SanFernando_impact-first,0,D01,303620,0.4110850542296032,6.8586439115849736,6.447558857355371,0.4110850542296032
Stage4_SanFernando_impact-first,1,D02,305984,0.2766566541556225,2.32727719275484,2.0506205385992176,0.2766566541556225
Stage4_SanFernando_impact-first,2,D02,304073,0.2197497887828771,1.4375921632820945,1.2178423744992175,0.2197497887828771
Stage4_SanFernando_impact-first,3,D02,300429,0.2704071705823979,15.260375198940768,14.98996802835837,0.2704071705823979
Stage4_SanFernando_impact-first,4,D02,300232,0.2371825217203012,1.2732864963395158,1.0361039746192147,0.2371825217203012
Stage4_SanFernando_impact-first,5,D02,309042,0.0465929262122769,1.9714823909870947,1.9248894647748178,0.0465929262122769
Stage4_SanFernando_impact-first,6,D02,309569,0.3226055858593969,19.39975394865666,19.077148362797264,0.3226055858593969
Stage4_SanFernando_impact-first,7,D02,301558,0.2435238787950405,3.5816830709210628,3.3381591921260223,0.2435238787950405
Stage4_SanFernando_impact-first,8,D02,303899,0.1733616579258699,2.457158833927369,2.283797176001499,0.1733616579258699
Stage4_SanFernando_impact-first,9,D02,300493,0.4716661398622363,11.670541007620182,11.198874867757945,0.4716661398622363
Stage4_SanFernando_impact-first,10,D02,308991,0.4568965074910148,7.14882078087341,6.691924273382395,0.4568965074910148
Stage4_SanFernando_impact-first,11,D02,301636,0.3845493027029834,14.962009181378086,14.577459878675102,0.3845493027029834
Stage4_SanFernando_impact-first,12,D03,300648,0.2242284125162813,1.5705422032610152,1.346313790744734,0.2242284125162813
Stage4_SanFernando_impact-first,13,D04,301194,0.2909494650763872,5.325264955280277,5.034315490203889,0.2909494650763872
Stage4_SanFernando_impact-first,14,D04,310527,0.3567726177126968,2.866490163364819,2.5097175456521224,0.3567726177126968
Stage4_SanFernando_impact-first,15,D04,301105,0.2987770471461312,1.5655585302789694,1.2667814831328383,0.2987770471461312
Stage4_SanFernando_impact-first,16,D04,306060,0.5053613787369885,1.6421939166940538,1.1368325379570652,0.5053613787369885
