scenario,substation_id,mean_repair_time_hr,task_threshold_hr,is_repair_task,avg_damage_state,p_ds_ge1,p_ds_ge2,p_ds_ge3,p_ds4
LongBeach,308806,7.774638862437007,1.0,True,2.083,0.9209999999999999,0.686,0.449,0.027
LongBeach,308907,0.793058154236732,1.0,False,0.509,0.447,0.056,0.006,0.0
LongBeach,308991,0.4510009271307208,1.0,False,0.35,0.326,0.024,0.0,0.0
LongBeach,309042,2.0340645265368655,1.0,True,0.968,0.724,0.22499999999999998,0.019,0.0
LongBeach,309156,4.288070046930132,1.0,True,1.4609999999999999,0.828,0.438,0.192,0.003
LongBeach,309553,4.172878364587312,1.0,True,1.4520000000000002,0.8530000000000001,0.454,0.14,0.005
LongBeach,309569,0.33707434763576305,1.0,False,0.30100000000000005,0.28800000000000003,0.013,0.0,0.0
LongBeach,309663,3.63601529069187,1.0,True,1.354,0.832,0.41500000000000004,0.10400000000000001,0.003
LongBeach,309703,4.279062659630969,1.0,True,1.47,0.856,0.47300000000000003,0.132,0.009
LongBeach,309758,5.976582000193439,1.0,True,1.786,0.875,0.5660000000000001,0.333,0.012
LongBeach,309843,1.0690835915142503,1.0,True,0.637,0.535,0.096,0.006,0.0
LongBeach,309853,6.759681665146333,1.0,True,1.9380000000000002,0.905,0.622,0.4,0.011
LongBeach,310179,9.730657906355436,1.0,True,2.361,0.9600000000000001,0.7610000000000001,0.5860000000000001,0.054
LongBeach,310199,0.24676515328867027,1.0,False,0.185,0.17200000000000001,0.013,0.0,0.0
LongBeach,310204,7.745595068544224,1.0,True,2.0660000000000003,0.9410000000000001,0.7040000000000001,0.377,0.044
LongBeach,310504,2.5759413049659643,1.0,True,1.108,0.751,0.275,0.082,0.0
LongBeach,310527,1.1186208316630404,1.0,True,0.618,0.505,0.10600000000000001,0.007,0.0
2pc50,300105,30.680590452794263,1.0,True,3.762,0.999,0.997,0.995,0.771
2pc50,300232,28.516042819384783,1.0,True,3.6470000000000002,0.996,0.988,0.9810000000000001,0.682
2pc50,300390,25.881500022940156,1.0,True,3.5679999999999996,0.997,0.992,0.978,0.601
2pc50,300408,25.379352269832175,1.0,True,3.5349999999999997,0.997,0.988,0.964,0.586
2pc50,300429,35.267326656336934,1.0,True,3.9469999999999996,1.0,1.0,1.0,0.947
2pc50,300493,32.406371452097275,1.0,True,3.8409999999999997,0.999,0.998,0.998,0.846
2pc50,300558,23.4795720778685,1.0,True,3.4370000000000003,0.998,0.991,0.94,0.508
2pc50,300627,23.91299652507646,1.0,True,3.409,0.996,0.982,0.9359999999999999,0.495
