tract_id,scenario,peak_outage_prob
6037183101,Northridge,0.05800000000000001
6037183103,Northridge,0.05800000000000001
6037183104,Northridge,0.05800000000000001
6037183220,Northridge,0.05800000000000001
6037183221,Northridge,0.05800000000000001
6037183222,Northridge,0.05800000000000001
6037183300,Northridge,0.05800000000000001
6037183401,Northridge,0.125
6037183402,Northridge,0.125
6037183510,Northridge,0.05800000000000001
6037183520,Northridge,0.05800000000000001
6037183610,Northridge,0.05800000000000001
6037183620,Northridge,0.05800000000000001
6037183701,Northridge,0.05800000000000001
6037183702,Northridge,0.05800000000000001
6037183810,Northridge,0.05800000000000001
6037183820,Northridge,0.05800000000000001
6037185101,Northridge,0.127
6037185102,Northridge,0.125
6037185202,Northridge,0.127
6037185203,Northridge,0.127
6037185204,Northridge,0.127
6037185310,Northridge,0.127
6037185320,Northridge,0.127
6037186100,Northridge,0.125
6037186201,Northridge,0.125
6037186202,Northridge,0.125
6037186203,Northridge,0.125
6037186301,Northridge,0.125
6037186302,Northridge,0.125
6037186401,Northridge,0.17300000000000001
6037186403,Northridge,0.17300000000000001
6037186404,Northridge,0.125
6037187101,Northridge,0.17200000000000001
6037187102,Northridge,0.17300000000000001
6037187200,Northridge,0.17200000000000001
6037187300,Northridge,0.17200000000000001
6037188100,Northridge,0.123
6037188201,Northridge,0.202
6037188202,Northridge,0.202
6037188300,Northridge,0.202
6037189101,Northridge,0.211
6037189102,Northridge,0.211
6037189201,Northridge,0.211
6037189202,Northridge,0.211
6037189300,Northridge,0.211
6037189400,Northridge,0.272
6037189501,Northridge,0.274
6037189502,Northridge,0.273
6037189600,Northridge,0.272
6037189702,Northridge,0.272
6037189703,Northridge,0.272
6037189704,Northridge,0.272
6037189801,Northridge,0.22
6037189802,Northridge,0.22
6037189903,Northridge,0.22
6037189904,Northridge,0.273
6037189905,Northridge,0.22
6037189906,Northridge,0.273
6037189907,Northridge,0.273
6037190101,Northridge,0.221
6037190102,Northridge,0.273
6037190201,Northridge,0.277
6037190202,Northridge,0.273
6037190302,Northridge,0.208
6037190303,Northridge,0.211
6037190401,Northridge,0.211
6037190402,Northridge,0.211
6037190510,Northridge,0.211
6037190520,Northridge,0.211
6037190701,Northridge,0.273
6037190702,Northridge,0.273
6037190801,Northridge,0.275
6037190802,Northridge,0.273
6037190901,Northridge,0.211
6037190902,Northridge,0.279
6037191000,Northridge,0.279
6037191110,Northridge,0.211
6037191120,Northridge,0.211
6037191201,Northridge,0.211
6037191203,Northridge,0.211
6037191204,Northridge,0.211
6037191301,Northridge,0.211
6037191302,Northridge,0.211
6037191410,Northridge,0.211
6037191420,Northridge,0.211
6037191500,Northridge,0.211
6037191610,Northridge,0.211
6037191620,Northridge,0.211
6037191710,Northridge,0.281
6037191720,Northridge,0.211
6037191810,Northridge,0.273
6037191820,Northridge,0.273
6037191901,Northridge,0.273
6037191902,Northridge,0.273
6037192001,Northridge,0.273
6037192002,Northridge,0.273
6037192300,Northridge,0.273
6037192410,Northridge,0.28
6037192420,Northridge,0.193
6037192510,Northridge,0.201
6037192520,Northridge,0.21
6037192610,Northridge,0.211
6037192620,Northridge,0.21
6037192700,Northridge,0.211
6037194101,Northridge,0.22
6037194102,Northridge,0.22
6037194200,Northridge,0.221
6037194300,Northridge,0.23099999999999998
6037194401,Northridge,0.273
6037194402,Northridge,0.276
6037194500,Northridge,0.277
6037195100,Northridge,0.202
6037195201,Northridge,0.202
6037195202,Northridge,0.211
6037195300,Northridge,0.211
6037195400,Northridge,0.211
6037195500,Northridge,0.10400000000000001
6037195600,Northridge,0.198
6037195710,Northridge,0.181
6037195720,Northridge,0.041
6037195802,Northridge,0.201
6037195803,Northridge,0.211
6037195804,Northridge,0.207
6037195901,Northridge,0.211
6037195902,Northridge,0.211
6037195903,Northridge,0.211
6037197200,Northridge,0.127
6037197300,Northridge,0.08600000000000001
6037197410,Northridge,0.16100000000000003
6037197420,Northridge,0.081
6037197500,Northridge,0.071
6037197600,Northridge,0.114
6037197700,Northridge,0.12100000000000001
6037199001,Northridge,0.127
6037199002,Northridge,0.127
6037199110,Northridge,0.127
6037199120,Northridge,0.127
6037199201,Northridge,0.127
6037199202,Northridge,0.127
6037199300,Northridge,0.127
6037199400,Northridge,0.127
6037199700,Northridge,0.12100000000000001
6037199801,Northridge,0.12100000000000001
6037199802,Northridge,0.12100000000000001
6037199900,Northridge,0.12100000000000001
6037201110,Northridge,0.05800000000000001
6037201120,Northridge,0.05800000000000001
6037201200,Northridge,0.05800000000000001
6037201301,Northridge,0.127
6037201302,Northridge,0.05800000000000001
6037201401,Northridge,0.11600000000000002
6037201402,Northridge,0.095
6037201501,Northridge,0.054000000000000006
6037201503,Northridge,0.05700000000000001
6037201504,Northridge,0.064
6037201601,Northridge,0.067
6037201602,Northridge,0.038000000000000006
6037201700,Northridge,0.036000000000000004
6037203100,Northridge,0.082
6037203200,Northridge,0.059000000000000004
6037203300,Northridge,0.12100000000000001
6037203500,Northridge,0.12100000000000001
6037203601,Northridge,0.114
6037203602,Northridge,0.07100000000000001
6037203710,Northridge,0.04
6037203720,Northridge,0.049
6037203800,Northridge,0.037000000000000005
6037203900,Northridge,0.1
6037204110,Northridge,0.1
6037204120,Northridge,0.1
6037204200,Northridge,0.063
6037204300,Northridge,0.093
6037204410,Northridge,0.11099999999999999
6037204420,Northridge,0.10700000000000001
6037204600,Northridge,0.11
6037204700,Northridge,0.11
6037204810,Northridge,0.1
6037204820,Northridge,0.1
