u,v,length_km,n_nodes,n_edges
303265,310458,34.24409814577826,174,173
304217,310458,17.014263641353093,71,70
304450,310458,66.91452111239909,392,391
306012,310458,34.418146511980595,209,208
306152,310458,12.857855908061538,79,78
306489,310458,13.83106436473613,92,91
306768,310458,18.76541252262423,105,104
308269,310458,36.335708721380925,213,212
309042,310458,32.63579708244873,191,190
309569,310458,3.8000265038704026,25,24
309843,310458,38.33216582826838,265,264
310199,310458,14.387872312485857,94,93
310442,310458,8.493325843475601,48,47
310458,310527,29.338027505624748,174,173
300429,310458,10.999733088555985,56,55
307693,310458,12.133795296622212,81,80
301638,309284,0.9448612239539408,7,6
301637,301638,20.696363150892495,158,157
301638,304137,0.21717238691541366,4,3
301638,306623,13.333273036936328,79,78
301638,308581,12.12318039302388,72,71
301100,301638,19.56546243961676,138,137
301638,304073,27.03791270529031,158,157
301638,306012,35.81516293764713,212,211
301638,308269,31.282576170745166,180,179
301638,309042,34.3179738289219,202,201
301638,309553,19.41389789415859,132,131
301637,309284,21.13630684800837,160,159
304137,309284,1.147927943939629,9,8
306623,309284,13.773216734052204,81,80
308581,309284,11.672301464074602,60,59
309284,310179,8.026531574194475,46,45
301100,309284,20.00540613673263,140,139
304073,309284,26.367699136821624,163,162
304450,309284,12.987178651334473,69,68
306012,309284,35.14494936917844,217,216
308269,309284,30.612362602276484,185,184
309042,309284,33.64776026045322,207,206
309284,309553,19.85384159127447,134,133
300144,303099,11.793987997477313,70,69
300144,301105,2.8642036287216768,16,15
300144,301194,34.85566153649089,209,208
300144,303487,31.270365332362683,200,199
300144,304217,31.08684152689905,170,169
300144,305021,7.110849239284247,60,59
300144,306012,45.46531068608026,296,295
300144,306768,28.436506335684186,182,181
300144,308269,47.382872895480574,300,299
300144,308325,10.91662320852493,72,71
300144,309042,43.6829612565484,278,277
300144,309569,35.04975190322127,222,221
300144,309843,2.5350438056779776,48,47
300144,310442,27.38637061422693,173,172
300144,310527,40.385191679724436,261,260
300144,300429,24.99689200957857,160,159
301555,308581,3.7100682235644706,37,36
301555,310179,4.255309939547538,36,35
301637,303099,9.585256175088508,56,55
301637,304137,20.84820487697877,158,157
301637,306623,11.828671320062845,86,85
301637,308581,32.305541492273555,219,218
301100,301637,7.836851779853051,53,52
301637,304073,43.39133257101721,251,250
301637,306012,52.16858280337402,305,304
301637,308269,47.63599603647206,273,272
301637,309042,50.67139369464878,295,294
303099,306623,14.975342421958855,106,105
301100,303099,17.01562147402617,95,94
301105,303099,9.326076979997454,55,54
303099,308325,10.498736684328286,65,64
303099,309843,14.252951315734736,115,114
304137,306623,13.485114763022601,79,78
304137,308581,12.326247113009568,74,73
301100,304137,19.717304165703034,138,137
304073,304137,27.189754431376578,158,157
304137,306012,35.9670046637334,212,211
304137,308269,31.434417896831437,180,179
304137,309042,34.469815555008175,202,201
304137,309553,19.56573962024487,132,131
306623,308581,24.461742041218706,123,122
306623,310179,20.815972151338578,109,108
301100,306623,15.9486918835653,104,103
304073,306623,34.29354368324359,191,190
304450,306623,25.776619228478584,132,131
306012,306623,43.07079391560041,245,244
306623,308269,38.53820714869845,213,212
306623,309042,41.57360480687517,235,234
308581,310179,3.811039680969933,17,16
301100,308581,31.174640780997816,199,198
301194,308581,49.37183276841627,306,305
301214,308581,81.54719788879063,476,475
303265,308581,102.49541858711247,569,568
303487,308581,67.70741368087418,401,400
304073,308581,33.39350429676392,194,193
304217,308581,67.52388987541055,371,370
304450,308581,11.223558078353035,56,55
306152,308581,81.10917634939574,474,473
306489,308581,82.08238480607035,487,486
306768,308581,60.89313328418769,353,352
308269,308581,35.9874945943468,190,189
308581,309042,39.94110538385313,235,234
308581,309553,31.023076235539662,193,192
308581,309569,71.48680025173275,423,422
308581,310199,82.63919275382005,489,488
308581,310442,63.823418962738415,374,373
308581,310527,43.14725008335585,252,251
300429,308581,61.43394035809007,361,360
307693,308581,78.62546208162402,441,440
301194,310179,45.68954534352001,290,289
301214,310179,77.86491046389439,460,459
303265,310179,98.81313116221622,553,552
303487,310179,64.02512625597792,385,384
304073,310179,29.71121687186764,178,177
304217,310179,63.84160245051429,355,354
304450,310179,7.541270653456758,40,39
306152,310179,77.4268889244995,458,457
306489,310179,78.40009738117409,471,470
306768,310179,57.21084585929143,337,336
308269,310179,32.30520716945054,174,173
309042,310179,36.25881795895687,219,218
309569,310179,67.80451282683647,407,406
310179,310199,78.95690532892381,473,472
310179,310442,60.141131537842156,358,357
310179,310527,39.46496265845959,236,235
300429,310179,57.75165293319381,345,344
307693,310179,74.94317465672776,425,424
300493,303620,6.118039881674386,35,34
300493,309843,20.320369906583437,86,85
300493,307693,10.665333489513175,46,45
301100,304073,43.57082740114852,277,276
301100,306012,52.34807763350534,331,330
301100,308269,47.815490866603376,299,298
301100,308325,7.964811107137048,48,47
301100,309042,50.850888524780096,321,320
301100,309553,1.6322995723532079,19,18
301105,301194,32.38775051901103,194,193
301105,303487,28.802454314882823,185,184
301105,304217,28.618930509419194,155,154
301105,305021,5.462273757013011,51,50
301105,306012,42.99739966860039,281,280
301105,306768,25.96859531820433,167,166
301105,308269,44.91496187800071,285,284
301105,308325,8.448712191045079,57,56
301105,309042,41.21505023906854,263,262
301105,309569,32.58184088574139,207,206
301105,309843,5.329448955400459,62,61
301105,310442,24.91845959674707,158,157
301105,310527,37.917280662244565,246,245
300429,301105,22.52898099209871,145,144
301194,301214,33.04544439265945,177,176
301194,303265,53.99366509098126,270,269
301194,303487,19.20566018474297,102,101
301194,304217,19.022136379279342,72,71
301194,304450,43.97610302229293,277,276
301194,306012,11.479728421874432,94,93
301194,306152,32.60742285326455,175,174
301194,306489,33.58063130993913,188,187
301194,306768,12.391379788056476,54,53
301194,308269,13.397290631274727,98,97
301194,309042,9.697378992342566,76,75
301194,309569,22.985046755601537,124,123
301194,309843,37.31462485474831,254,253
301194,310199,34.13743925768886,190,189
301194,310442,15.321665466607222,75,74
301194,310527,6.399609415518576,59,58
300429,301194,12.93218686195886,62,61
301194,307693,30.123708585492835,142,141
301214,303265,21.187447259926977,95,94
301214,304217,26.25121067162129,126,125
301214,304450,76.15146814266723,447,446
301214,306012,43.65509354224879,264,263
301214,306152,4.57024814227867,35,34
301214,306489,0.7744134788848472,13,12
301214,306768,28.002359552892422,160,159
301214,308269,45.57265575164911,268,267
301214,309042,41.87274411271694,246,245
301214,309569,12.935985029613265,80,79
301214,310199,1.3312214266345728,15,14
301214,310442,17.7302728737438,103,102
301214,310527,38.57497453589296,229,228
300429,301214,20.236680118824186,111,110
301214,307693,5.16190913062422,31,30
303265,304217,47.199431369943134,219,218
303265,304450,97.09968884098915,540,539
303265,306012,64.60331424057063,357,356
303265,306152,24.996443098261338,123,122
303265,306489,20.849910369622307,91,90
303265,306768,48.95058025121424,253,252
303265,308269,66.52087644997096,361,360
303265,309042,62.82096481103877,339,338
303265,309569,33.884205727935104,173,172
303265,310199,21.308103641734107,92,91
303265,310442,38.67849357206562,196,195
303265,310527,59.523195234214796,322,321
300429,303265,41.18490081714601,204,203
303265,307693,23.880787515800975,91,90
303487,304217,12.411426463704835,51,50
303487,304450,62.31168393475083,372,371
303487,306012,29.81530933433234,189,188
303487,306768,14.162575344975968,85,84
303487,308269,31.732871543732646,193,192
303487,309042,28.03295990480047,171,170
303487,309569,3.900120676769746,30,29
303487,309843,33.729328650620104,245,244
303487,310442,3.89048866582734,28,27
303487,310527,24.73519032797649,154,153
300429,303487,6.374242255236329,35,34
303620,308991,4.811090326998902,56,55
303620,309843,14.367032544622672,54,53
303620,307693,16.69646600117107,79,78
303899,308206,2.9621000985046084,24,23
304073,304450,27.99777455064059,165,164
304073,306012,14.728399237483947,89,88
304073,308269,12.415050663742397,73,72
304073,309042,13.231210128758725,79,78
304073,309553,43.419262855690356,271,270
304217,304450,62.12816012928719,342,341
304217,306012,29.631785528868697,159,158
304217,306152,25.813189132226398,124,123
304217,306489,26.786397588901,137,136
304217,306768,13.97905153951233,55,54
304217,308269,31.549347738269002,163,162
304217,309042,27.849436099336828,141,140
304217,309569,16.190813034563398,73,72
304217,309843,33.54580484515647,215,214
304217,310199,27.34320553665072,139,138
304217,310442,8.529968326866928,24,23
304217,310527,24.551666522512846,124,123
300429,304217,6.338721610326572,20,19
304217,307693,23.32947486445469,91,90
304450,306152,75.71344660327246,445,444
304450,306489,76.68665505994707,458,457
304450,306768,55.49740353806437,324,323
304450,308269,30.591764848223477,161,160
304450,309042,34.545375637729805,206,205
304450,309569,66.09107050560944,394,393
304450,310199,77.24346300769677,460,459
304450,310442,58.42768921661509,345,344
304450,310527,37.75152033723253,223,222
300429,304450,56.03821061196675,332,331
304450,307693,73.22973233550069,412,411
305021,309843,9.569812557541669,105,104
306012,306152,43.21707200285388,262,261
306012,306489,44.19028045952845,275,274
306012,306768,23.001028937645845,141,140
306012,309042,1.804903871469004,11,10
306012,309553,52.196513088047205,325,324
306012,309569,33.5946959051909,211,210
306012,309843,47.92427400433767,341,340
306012,310199,44.74708840727819,277,276
306012,310442,25.931314616196566,162,161
306012,310527,5.202185377648189,49,48
300429,306012,23.541836011548206,149,148
306012,307693,40.73335773508219,229,228
306152,306489,4.844895795527082,41,40
306152,306768,27.564338013497526,158,157
306152,308269,45.134634212254205,266,265
306152,309042,41.434722573322034,244,243
306152,309569,12.497963490218371,78,77
306152,310199,5.401703743276806,43,42
306152,310442,17.292251334348904,101,100
306152,310527,38.13695299649806,227,226
300429,306152,19.79865857942929,109,108
306152,307693,4.723887591229328,29,28
306489,306768,28.537546470172124,171,170
