OSHPD_ID,PERM_ID,FACILITY_NAME,LICENSE_NUM,FACILITY_LEVEL_DESC,DBA_ADDRESS1,DBA_CITY,DBA_ZIP_CODE,COUNTY_CODE,COUNTY_NAME,ER_SERVICE_LEVEL_DESC,TOTAL_NUMBER_BEDS,FACILITY_STATUS_DESC,FACILITY_STATUS_DATE,LICENSE_TYPE_DESC,LICENSE_CATEGORY_DESC,LATITUDE,LONGITUDE
206394006,26084,CRYSTAL CREEK POST-ACUTE,100000355,Skilled Nursing Facility,9289 BRANSTETTER PLACE,STOCKTON,95209,39,San Joaquin,Not Applicable,152,Open,1988-12-07,Long Term Care Facility,Skilled Nursing Facility,38.03430740,-121.34731180
206394007,26170,CREEKSIDE CENTER,100000358,Skilled Nursing Facility,9107 DAVIS ROAD,STOCKTON,95209,39,San Joaquin,Not Applicable,75,Open,1989-08-04,Long Term Care Facility,Skilled Nursing Facility,38.03295170,-121.33262870
206394041,24961,MEADOWOOD A HEALTH AND REHABILITATION CENTER,100000631,Skilled Nursing Facility,3110 WAGNER HEIGHTS ROAD,STOCKTON,95209,39,San Joaquin,Not Applicable,100,Open,1997-09-17,Long Term Care Facility,Skilled Nursing Facility,38.03140610,-121.35644140
206394067,,HOSPICE OF SAN JOAQUIN HOSPICE HOUSE,550004286,Hospice Facility,3888 PACIFIC AVE,STOCKTON,95204,39,San Joaquin,Not Applicable,6,Open,2018-02-07,Long Term Care Facility,Hospice Facility,37.98389820,-121.30858760
206394129,,CENTRAL VALLEY CONGREGATE LIVING,550003672,Congregate Living Health Facility,1051 TENNIS LANE,TRACY,95376,39,San Joaquin,Not Applicable,6,Open,2016-08-31,Long Term Care Facility,Congregate Living Health Facility,37.73175430,-121.43889020
206400477,20769,COASTAL OAKS SPECIAL CARE CENTER,050000029,Skilled Nursing Facility,10805 EL CAMINO REAL,ATASCADERO,93422,40,San Luis Obispo,Not Applicable,65,Open,1961-05-15,Long Term Care Facility,Skilled Nursing Facility,35.45734260,-120.63940970
206400484,20771,MISSION VIEW HEALTH CENTER,050000035,Skilled Nursing Facility,1425 WOODSIDE DRIVE,SAN LUIS OBISPO,93401,40,San Luis Obispo,Not Applicable,162,Open,1963-02-25,Long Term Care Facility,Skilled Nursing Facility,35.26560010,-120.63829900
206400497,22963,BAYSIDE CARE CENTER,050000043,Skilled Nursing Facility,1405 TERESA DRIVE,MORRO BAY,93442,40,San Luis Obispo,Not Applicable,145,Open,1972-09-01,Long Term Care Facility,Skilled Nursing Facility,35.36566500,-120.82501700
206400527,22714,ARROYO GRANDE CARE CENTER,050000062,Skilled Nursing Facility,1212 FARROLL AVENUE,ARROYO GRANDE,93420,40,San Luis Obispo,Not Applicable,99,Open,1970-11-02,Long Term Care Facility,Skilled Nursing Facility,35.11123600,-120.60205290
206400699,22629,SAN LUIS POST ACUTE CENTER,050000083,Skilled Nursing Facility,3033 AUGUSTA STREET,SAN LUIS OBISPO,93401,40,San Luis Obispo,Not Applicable,162,Open,1970-06-05,Long Term Care Facility,Skilled Nursing Facility,35.26673570,-120.64094270
