"GEO_ID","NAME","B25034_001E","B25034_001M","B25034_002E","B25034_002M","B25034_003E","B25034_003M","B25034_004E","B25034_004M","B25034_005E","B25034_005M","B25034_006E","B25034_006M","B25034_007E","B25034_007M","B25034_008E","B25034_008M","B25034_009E","B25034_009M","B25034_010E","B25034_010M","B25034_011E","B25034_011M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Built 2020 or later","Margin of Error!!Total:!!Built 2020 or later","Estimate!!Total:!!Built 2010 to 2019","Margin of Error!!Total:!!Built 2010 to 2019","Estimate!!Total:!!Built 2000 to 2009","Margin of Error!!Total:!!Built 2000 to 2009","Estimate!!Total:!!Built 1990 to 1999","Margin of Error!!Total:!!Built 1990 to 1999","Estimate!!Total:!!Built 1980 to 1989","Margin of Error!!Total:!!Built 1980 to 1989","Estimate!!Total:!!Built 1970 to 1979","Margin of Error!!Total:!!Built 1970 to 1979","Estimate!!Total:!!Built 1960 to 1969","Margin of Error!!Total:!!Built 1960 to 1969","Estimate!!Total:!!Built 1950 to 1959","Margin of Error!!Total:!!Built 1950 to 1959","Estimate!!Total:!!Built 1940 to 1949","Margin of Error!!Total:!!Built 1940 to 1949","Estimate!!Total:!!Built 1939 or earlier","Margin of Error!!Total:!!Built 1939 or earlier",
"1400000US06037111402","Census Tract 1114.02; Los Angeles County; California","2175","316","0","19","0","19","285","196","243","136","332","147","552","279","351","175","339","93","73","82","0","19",
"1400000US06037113101","Census Tract 1131.01; Los Angeles County; California","1186","158","0","13","9","15","75","69","46","52","106","59","396","123","264","73","265","120","12","16","13","22",
"1400000US06037113102","Census Tract 1131.02; Los Angeles County; California","1035","93","48","66","11","17","5","8","44","34","47","62","321","86","513","108","20","19","10","11","16","23",
"1400000US06037113211","Census Tract 1132.11; Los Angeles County; California","1694","177","0","13","41","36","76","90","78","49","407","101","791","188","139","71","97","63","53","72","12","19",
"1400000US06037113212","Census Tract 1132.12; Los Angeles County; California","992","62","0","13","0","13","0","13","22","25","175","81","314","95","325","98","156","75","0","13","0","13",
"1400000US06037113213","Census Tract 1132.13; Los Angeles County; California","1727","141","0","19","7","11","47","43","14","11","406","94","945","160","245","115","51","31","0","19","12","18",
"1400000US06037113231","Census Tract 1132.31; Los Angeles County; California","869","116","0","13","46","67","0","13","33","37","71","37","119","37","516","95","28","22","7","11","49","36",
"1400000US06037113232","Census Tract 1132.32; Los Angeles County; California","1541","172","0","13","195","126","9","13","12","18","38","54","394","122","512","133","280","95","85","59","16","23",
"1400000US06037113234","Census Tract 1132.34; Los Angeles County; California","1716","184","0","19","43","31","69","44","89","59","551","132","386","127","370","168","164","86","0","19","44","47",
"1400000US06037113235","Census Tract 1132.35; Los Angeles County; California","702","56","0","13","15","16","0","13","148","52","217","64","129","58","49","32","42","26","39","32","63","36",
