,TRACT,TRACTFIPS,SOVI_SCORE,NRI_ID
3711,901003,6037901003,50,T06037901003
3712,901007,6037901007,35.52999878,T06037901007
3713,901008,6037901008,63.90000153,T06037901008
3714,901009,6037901009,77.95999908,T06037901009
3715,901010,6037901010,81.12000275,T06037901010
3716,901011,6037901011,62.93999863,T06037901011
3717,901012,6037901012,15.31000042,T06037901012
3718,901013,6037901013,14.72999954,T06037901013
3719,901014,6037901014,40.20999908,T06037901014
3720,901101,6037901101,74.41999817,T06037901101
3721,901102,6037901102,62.99000168,T06037901102
3722,901209,6037901209,47.83000183,T06037901209
3723,901210,6037901210,22.98999977,T06037901210
3724,901214,6037901214,24.77000046,T06037901214
3725,901215,6037901215,51.77000046,T06037901215
3726,901216,6037901216,8.520000458,T06037901216
3727,901217,6037901217,28.65999985,T06037901217
3728,901218,6037901218,4.840000153,T06037901218
3729,901300,6037901300,70.16000366,T06037901300
3730,910002,6037910002,82.94000244,T06037910002
3731,910210,6037910210,29.23999977,T06037910210
3732,910211,6037910211,6.769999981,T06037910211
3733,910212,6037910212,49.20999908,T06037910212
3734,910213,6037910213,31.93000031,T06037910213
3735,910214,6037910214,61.31000137,T06037910214
3736,910215,6037910215,74.59999847,T06037910215
3737,910216,6037910216,19.54000092,T06037910216
3738,910217,6037910217,52.38999939,T06037910217
3739,910218,6037910218,85.80999756,T06037910218
3740,910301,6037910301,34.18999863,T06037910301
3741,910302,6037910302,50.18999863,T06037910302
3742,910401,6037910401,57.36999893,T06037910401
3743,910404,6037910404,78.48000336,T06037910404
3744,910405,6037910405,97.69999695,T06037910405
3745,910501,6037910501,97.88999939,T06037910501
3746,910502,6037910502,94.09999847,T06037910502
3747,910504,6037910504,83.74001312,T06037910504
3748,910505,6037910505,79.70999908,T06037910505
3749,910601,6037910601,90.66000366,T06037910601
3750,910602,6037910602,95.69999695,T06037910602
3751,910605,6037910605,96.62000275,T06037910605
3752,910606,6037910606,90.93000031,T06037910606
3753,910607,6037910607,85.58999634,T06037910607
3754,910608,6037910608,87.48000336,T06037910608
3755,910706,6037910706,88.04000092,T06037910706
3756,910707,6037910707,89.31001282,T06037910707
3757,910709,6037910709,46.83000183,T06037910709
3758,910712,6037910712,63.43000031,T06037910712
3759,910713,6037910713,76.34999847,T06037910713
3760,910714,6037910714,65.05000305,T06037910714
3761,910715,6037910715,85.29000092,T06037910715
3762,910716,6037910716,65.48999786,T06037910716
3763,910717,6037910717,55.16999817,T06037910717
3764,910718,6037910718,63.5,T06037910718
3765,910719,6037910719,54.75999832,T06037910719
3766,910720,6037910720,93.77999878,T06037910720
3767,910721,6037910721,74.83999634,T06037910721
3768,910804,6037910804,32.72000122,T06037910804
3769,910807,6037910807,44.65999985,T06037910807
3770,910808,6037910808,16.79999924,T06037910808
3771,910809,6037910809,9.020000458,T06037910809
3772,910810,6037910810,12.17000008,T06037910810
3773,910814,6037910814,33.49000168,T06037910814
3774,910815,6037910815,43.93000031,T06037910815
3775,911001,6037911001,90.83999634,T06037911001
3776,911100,6037911100,89.33000183,T06037911100
3777,920013,6037920013,61.20999908,T06037920013
3778,920015,6037920015,7.789999962,T06037920015
3779,920016,6037920016,5.550000191,T06037920016
3780,920017,6037920017,39.18999863,T06037920017
3781,920018,6037920018,9.300000191,T06037920018
3782,920020,6037920020,45.84999847,T06037920020
3783,920028,6037920028,34.02000046,T06037920028
3784,920029,6037920029,64.12999725,T06037920029
3785,920030,6037920030,53.13999939,T06037920030
3786,920031,6037920031,49.61999893,T06037920031
3787,920034,6037920034,72.23000336,T06037920034
3788,920035,6037920035,81.22000122,T06037920035
3789,920038,6037920038,86.54000092,T06037920038
3790,920039,6037920039,18.64999962,T06037920039
3791,920040,6037920040,50.63000107,T06037920040
3792,920041,6037920041,43.52999878,T06037920041
3793,920042,6037920042,63.95999908,T06037920042
3794,920043,6037920043,28.93000031,T06037920043
3795,920044,6037920044,27.37999916,T06037920044
3796,920045,6037920045,7.570000172,T06037920045
3797,920046,6037920046,78.95999908,T06037920046
3798,920047,6037920047,88.19999695,T06037920047
3799,920048,6037920048,89.12000275,T06037920048
3800,920049,6037920049,33.56000137,T06037920049
3801,920050,6037920050,37.63000107,T06037920050
3802,920102,6037920102,84.19000244,T06037920102
3803,920104,6037920104,26.31999969,T06037920104
3804,920106,6037920106,58.83000183,T06037920106
3805,920109,6037920109,38.00999832,T06037920109
3806,920110,6037920110,9.260000229,T06037920110
3807,920111,6037920111,17.20000076,T06037920111
3808,920112,6037920112,36.95000076,T06037920112
3809,920114,6037920114,27.70000076,T06037920114
3810,920115,6037920115,46.06000137,T06037920115
3811,920116,6037920116,33.88000107,T06037920116
3812,920118,6037920118,15.10000038,T06037920118
3813,920119,6037920119,6,T06037920119
3814,920120,6037920120,9.529999733,T06037920120
3815,920121,6037920121,22.87999916,T06037920121
3816,920200,6037920200,84.19000244,T06037920200
3817,920303,6037920303,22.15999985,T06037920303
3818,920312,6037920312,83.83000183,T06037920312
3819,920313,6037920313,67.72000122,T06037920313
3820,920314,6037920314,37.61000061,T06037920314
3821,920322,6037920322,61.36000061,T06037920322
3822,920326,6037920326,67.15000153,T06037920326
3823,920328,6037920328,18.94000053,T06037920328
3824,920329,6037920329,42.63000107,T06037920329
3825,920330,6037920330,57.61999893,T06037920330
3826,920331,6037920331,27.80999947,T06037920331
3827,920332,6037920332,30.04000092,T06037920332
3828,920334,6037920334,68.54000092,T06037920334
3829,920338,6037920338,20.72999954,T06037920338
3830,920339,6037920339,34.45000076,T06037920339
3831,920340,6037920340,57.66999817,T06037920340
3832,920341,6037920341,96.24001312,T06037920341
3833,920342,6037920342,82.43000031,T06037920342
3834,920343,6037920343,83.37999725,T06037920343
3835,930400,6037930400,57.56999969,T06037930400
3836,980001,6037980001,63.50444031,T06037980001
